Time(s),AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.0,0.0751953125,-1.004638671875,0.02197265625,-0.7709923664122137,0.15267175572519084,-1.297709923664122
0.01,0.072021484375,-0.999267578125,0.021484375,-0.16030534351145037,-0.04580152671755725,-1.1526717557251909
0.02,0.070068359375,-0.99951171875,0.034912109375,-0.16030534351145037,-0.22137404580152673,-1.3358778625954197
0.03,0.0703125,-0.9853515625,0.02734375,-0.3969465648854962,-0.10687022900763359,-1.3129770992366412
0.04,0.072509765625,-0.9990234375,0.023193359375,-0.5038167938931297,-0.16030534351145037,-1.2900763358778626
0.05,0.06396484375,-0.998291015625,0.019287109375,-0.5114503816793893,-0.2748091603053435,-1.4122137404580153
0.06,0.062255859375,-0.998046875,0.023681640625,-0.5725190839694656,-0.20610687022900764,-1.4885496183206106
0.07,0.068603515625,-0.998046875,0.0244140625,-0.5954198473282443,-1.9389312977099236,-1.3511450381679388
0.08,0.068359375,-0.998779296875,0.029296875,-0.3435114503816794,-0.10687022900763359,-1.282442748091603
0.09,0.067626953125,-1.003173828125,0.0341796875,-0.0916030534351145,0.015267175572519083,-1.213740458015267
0.1,0.074951171875,-1.0146484375,0.01708984375,-0.3282442748091603,-0.16793893129770993,-1.4045801526717556
0.11,0.065185546875,-0.9853515625,0.0302734375,-0.29770992366412213,-0.16793893129770993,-1.3206106870229009
0.12,0.06640625,-0.997314453125,0.02587890625,-0.7175572519083969,0.08396946564885496,-1.450381679389313
0.13,0.0693359375,-1.001220703125,0.0234375,-0.648854961832061,-0.2595419847328244,-1.3969465648854962
0.14,0.072509765625,-1.00341796875,0.018798828125,-0.7633587786259542,-0.06870229007633588,-1.3511450381679388
0.15,0.070068359375,-0.9970703125,0.028076171875,-0.5343511450381679,-0.15267175572519084,-1.2900763358778626
0.16,0.071044921875,-1.005859375,0.02294921875,-0.3816793893129771,-0.15267175572519084,-1.3129770992366412
0.17,0.067626953125,-1.01416015625,0.020751953125,-0.22900763358778625,-0.04580152671755725,-1.3511450381679388
