Time(s),AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0888671875,-1.020751953125,0.04150390625,28.61832061068702,-35.48854961832061,71.12213740458016
0.02,0.093017578125,-1.01416015625,0.045166015625,-3.7938931297709924,5.412213740458015,49.725190839694655
0.03,0.07958984375,-1.009033203125,0.042724609375,-1.6488549618320612,1.8778625954198473,-0.31297709923664124
0.04,0.083984375,-1.015625,0.0380859375,-1.8702290076335877,0.16030534351145037,-0.42748091603053434
0.05,0.0908203125,-1.019287109375,0.049072265625,-1.7099236641221374,-0.2900763358778626,-0.40458015267175573
0.06,0.087646484375,-1.029052734375,0.04638671875,-1.6793893129770991,-0.1450381679389313,-0.5190839694656488
0.07,0.091064453125,-1.021484375,0.05322265625,-1.6106870229007633,-0.16793893129770993,-0.35877862595419846
0.08,0.083740234375,-1.02197265625,0.04736328125,-1.786259541984733,-0.3053435114503817,-0.366412213740458
0.09,0.08740234375,-1.0107421875,0.04150390625,-1.7328244274809161,-0.13740458015267176,-0.3435114503816794
0.1,0.08544921875,-1.010498046875,0.0478515625,-1.633587786259542,-0.16030534351145037,-0.4198473282442748
0.11,0.092529296875,-1.02001953125,0.0517578125,-1.7328244274809161,-0.12213740458015267,-0.37404580152671757
0.12,0.091552734375,-1.018798828125,0.043701171875,-1.7328244274809161,-0.24427480916030533,-0.3969465648854962
0.13,0.087646484375,-1.01904296875,0.046142578125,-1.7938931297709924,-0.2900763358778626,-0.37404580152671757
0.14,0.08984375,-1.0107421875,0.0458984375,-1.5648854961832062,-0.05343511450381679,-0.46564885496183206
0.15,0.0908203125,-1.00244140625,0.046875,-1.8396946564885497,-0.2824427480916031,-0.25190839694656486
0.16,0.086669921875,-1.015625,0.047119140625,-1.5190839694656488,-0.2824427480916031,-0.22900763358778625
0.17,0.0859375,-1.010986328125,0.05126953125,-1.6412213740458015,-0.07633587786259542,-0.2595419847328244
0.18,0.087890625,-1.01806640625,0.05078125,-1.5572519083969465,-0.4961832061068702,-0.44274809160305345
0.19,0.078857421875,-1.02001953125,0.05419921875,-1.748091603053435,-0.21374045801526717,-0.25190839694656486
0.2,0.0927734375,-1.008056640625,0.051513671875,-1.8854961832061068,-0.4351145038167939,-0.4198473282442748
0.21,0.09326171875,-1.0009765625,0.04443359375,-1.7404580152671756,-0.24427480916030533,-0.4351145038167939
0.22,0.0947265625,-1.01806640625,0.05126953125,-1.618320610687023,-0.21374045801526717,-0.4198473282442748
0.23,0.088623046875,-1.016845703125,0.033447265625,-1.748091603053435,-0.03816793893129771,-0.5801526717557252
0.24,0.08935546875,-1.016357421875,0.046875,-1.5801526717557253,-0.17557251908396945,-0.4961832061068702
0.25,0.092041015625,-1.017333984375,0.049560546875,-1.702290076335878,-0.06870229007633588,-0.3435114503816794
0.26,0.084716796875,-1.015625,0.0458984375,-1.3358778625954197,-0.10687022900763359,-0.4732824427480916
0.27,0.0927734375,-1.0185546875,0.05126953125,-1.786259541984733,-0.2748091603053435,-0.3511450381679389
0.28,0.088134765625,-1.0205078125,0.04931640625,-1.6870229007633588,-0.07633587786259542,-0.3893129770992366
0.29,0.0908203125,-1.017333984375,0.052001953125,-1.7251908396946565,-0.3282442748091603,-0.33587786259541985
0.3,0.09326171875,-1.01416015625,0.0546875,-1.549618320610687,-0.33587786259541985,-0.4580152671755725
0.31,0.08935546875,-1.00830078125,0.031494140625,-2.0076335877862594,-0.29770992366412213,-0.40458015267175573
0.32,0.08837890625,-1.015869140625,0.0517578125,-1.7099236641221374,-0.48091603053435117,-0.37404580152671757
0.33,0.089599609375,-1.009765625,0.05078125,-1.8473282442748091,-0.16030534351145037,-0.3816793893129771
0.34,0.10595703125,-1.0166015625,0.04248046875,-1.6488549618320612,-0.24427480916030533,-0.4580152671755725
0.35,0.092041015625,-1.001953125,0.0478515625,-1.8854961832061068,-0.17557251908396945,-0.42748091603053434
0.36,0.09619140625,-1.013671875,0.0615234375,-1.7251908396946565,-0.2748091603053435,-0.37404580152671757
0.37,0.0888671875,-1.030517578125,0.052001953125,-1.786259541984733,-0.1984732824427481,-0.32061068702290074
0.38,0.085205078125,-1.021728515625,0.062255859375,-1.7557251908396947,-0.2366412213740458,-0.366412213740458
0.39,0.09130859375,-1.013916015625,0.052734375,-1.7633587786259541,-0.2595419847328244,-0.4198473282442748
0.4,0.090576171875,-1.013916015625,0.051025390625,-1.7099236641221374,-0.26717557251908397,-0.2900763358778626
0.41,0.09033203125,-1.0205078125,0.049560546875,-1.6564885496183206,-0.22137404580152673,-0.4732824427480916
0.42,0.092041015625,-1.018310546875,0.053955078125,-1.8473282442748091,-0.26717557251908397,-0.366412213740458
0.43,0.090576171875,-1.031005859375,0.031494140625,-1.6793893129770991,-0.2595419847328244,-0.4961832061068702
0.44,0.08935546875,-1.00439453125,0.0361328125,-1.6717557251908397,-0.3969465648854962,-0.29770992366412213
0.45,0.08740234375,-1.0166015625,0.06298828125,-1.5954198473282444,-0.022900763358778626,-0.35877862595419846
0.46,0.09033203125,-1.014892578125,0.054443359375,-1.6488549618320612,-0.2366412213740458,-0.5572519083969466
0.47,0.09228515625,-1.0244140625,0.0458984375,-1.6946564885496183,-0.31297709923664124,-0.5267175572519084
0.48,0.087158203125,-1.018310546875,0.04443359375,-1.6564885496183206,-0.31297709923664124,-0.45038167938931295
0.49,0.090576171875,-1.01171875,0.056396484375,-1.618320610687023,-0.08396946564885496,-0.3511450381679389
0.5,0.083740234375,-1.0302734375,0.0546875,-1.6488549618320612,-0.5267175572519084,-0.5190839694656488
0.51,0.08935546875,-1.0009765625,0.05810546875,-1.6946564885496183,-0.20610687022900764,-0.5267175572519084
0.52,0.083740234375,-1.017578125,0.053955078125,-1.702290076335878,-0.3893129770992366,-0.3282442748091603
0.53,0.087158203125,-1.00732421875,0.04345703125,-1.8702290076335877,-0.29770992366412213,-0.4351145038167939
0.54,0.09130859375,-1.026123046875,0.040283203125,-1.6793893129770991,-0.22137404580152673,-0.5038167938931297
0.55,0.091552734375,-1.01220703125,0.040283203125,-1.6870229007633588,-0.10687022900763359,-0.366412213740458
0.56,0.09033203125,-1.013671875,0.052001953125,-1.717557251908397,-0.13740458015267176,-0.4732824427480916
0.57,0.104736328125,-1.017822265625,0.051513671875,-1.6946564885496183,-0.1297709923664122,-0.3435114503816794
0.58,0.09228515625,-1.020751953125,0.050048828125,-1.5648854961832062,0.03816793893129771,-0.4580152671755725
0.59,0.09619140625,-1.01318359375,0.03125,-1.7633587786259541,-0.0916030534351145,-0.3893129770992366
0.6,0.089599609375,-1.019287109375,0.050048828125,-1.4961832061068703,-0.24427480916030533,-0.4351145038167939
0.61,0.087646484375,-1.01416015625,0.043701171875,-1.7328244274809161,-0.2748091603053435,-0.32061068702290074
0.62,0.089599609375,-1.01513671875,0.053466796875,-1.6870229007633588,-0.03816793893129771,-0.1984732824427481
0.63,0.085693359375,-1.01708984375,0.05126953125,-1.633587786259542,-0.16793893129770993,-0.4961832061068702
0.64,0.090087890625,-1.002685546875,0.05419921875,-1.8854961832061068,-0.2748091603053435,-0.37404580152671757
0.65,0.092529296875,-1.008056640625,0.061279296875,-1.7938931297709924,0.04580152671755725,-0.25190839694656486
0.66,0.09326171875,-1.019775390625,0.051025390625,-1.5190839694656488,-0.2824427480916031,-0.48091603053435117
0.67,0.09130859375,-1.01611328125,0.061279296875,-1.7633587786259541,-0.16030534351145037,-0.44274809160305345
