Time(s),AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.0,0.088134765625,-0.939697265625,0.1533203125,-2.595419847328244,15.603053435114504,12.549618320610687
0.01,0.125732421875,-0.934814453125,0.146728515625,-3.6564885496183206,16.0,14.679389312977099
0.02,0.14208984375,-0.943359375,0.135986328125,-4.8396946564885495,16.17557251908397,15.335877862595419
0.03,0.136962890625,-0.977294921875,0.15234375,-7.083969465648855,13.053435114503817,14.618320610687023
0.04,0.152099609375,-1.015625,0.145263671875,-8.51908396946565,11.114503816793894,13.557251908396946
0.05,0.1435546875,-1.072265625,0.1455078125,-8.045801526717558,14.748091603053435,12.709923664122137
0.06,0.128662109375,-1.11083984375,0.16552734375,-6.4961832061068705,15.374045801526718,11.664122137404581
0.07,0.1123046875,-1.13720703125,0.15625,-5.061068702290076,13.51908396946565,11.648854961832061
0.08,0.131591796875,-1.164306640625,0.181396484375,-4.1679389312977095,4.755725190839694,6.740458015267175
0.09,0.1533203125,-1.18994140625,0.18603515625,-2.2290076335877864,0.6259541984732825,3.4198473282442747
0.1,0.14453125,-1.230712890625,0.219482421875,6.938931297709924,-3.6259541984732824,-0.6946564885496184
0.11,0.12548828125,-1.207275390625,0.230224609375,18.793893129770993,-6.0534351145038165,-2.9923664122137406
0.12,0.116455078125,-1.143798828125,0.240966796875,24.916030534351144,-5.267175572519084,-3.122137404580153
0.13,0.10302734375,-1.062255859375,0.24267578125,21.916030534351144,-4.2748091603053435,-2.2748091603053435
0.14,0.09423828125,-1.017822265625,0.22119140625,16.83206106870229,-7.114503816793893,-2.145038167938931
0.15,0.117919921875,-1.01611328125,0.1962890625,16.610687022900763,-8.236641221374045,-1.8702290076335877
0.16,0.1298828125,-1.023193359375,0.164794921875,21.374045801526716,-8.48091603053435,-1.534351145038168
0.17,0.14453125,-1.027587890625,0.175537109375,26.549618320610687,-9.259541984732824,-1.4809160305343512
0.18,0.146728515625,-1.01708984375,0.1943359375,29.46564885496183,-9.908396946564885,-1.4809160305343512
0.19,0.1494140625,-1.00341796875,0.216552734375,29.641221374045802,-9.900763358778626,-0.03816793893129771
0.2,0.150146484375,-1.013916015625,0.2109375,28.84732824427481,-8.877862595419847,-2.786259541984733
0.21,0.126220703125,-0.990478515625,0.2275390625,26.3206106870229,-8.083969465648854,-3.3740458015267176
0.22,0.11865234375,-0.958740234375,0.223388671875,23.793893129770993,-7.442748091603053,-3.572519083969466
0.23,0.1220703125,-0.95361328125,0.224609375,23.908396946564885,-8.061068702290076,-3.732824427480916
0.24,0.102294921875,-0.947021484375,0.20947265625,25.458015267175572,-9.106870229007633,-4.068702290076335
0.25,0.111328125,-0.94775390625,0.223876953125,25.709923664122137,-10.557251908396946,-4.366412213740458
0.26,0.138671875,-0.962646484375,0.234619140625,25.03053435114504,-12.526717557251908,-5.1603053435114505
0.27,0.124755859375,-0.978759765625,0.235107421875,23.282442748091604,-13.49618320610687,-5.3893129770992365
0.28,0.126220703125,-0.98828125,0.238525390625,20.732824427480917,-12.16030534351145,-5.1603053435114505
0.29,0.11376953125,-0.99560546875,0.23046875,18.259541984732824,-11.022900763358779,-4.580152671755725
0.3,0.11279296875,-1.01318359375,0.223876953125,19.099236641221374,-10.572519083969466,-3.3969465648854964
0.31,0.095703125,-1.0224609375,0.21044921875,23.83969465648855,-9.946564885496183,-2.0839694656488548
0.32,0.138916015625,-1.01123046875,0.22265625,28.374045801526716,-8.801526717557252,-1.381679389312977
0.33,0.13037109375,-0.990478515625,0.23193359375,29.572519083969464,-7.557251908396947,-0.7633587786259542
0.34,0.125244140625,-0.982421875,0.2470703125,27.625954198473284,-6.190839694656488,-0.5038167938931297
0.35,0.122314453125,-0.95068359375,0.26123046875,23.83206106870229,-5.9541984732824424,-0.22137404580152673
0.36,0.115234375,-0.94970703125,0.24658203125,21.290076335877863,-5.7251908396946565,-0.19083969465648856
0.37,0.12255859375,-0.95556640625,0.244384765625,20.66412213740458,-5.595419847328245,-0.48854961832061067
0.38,0.1240234375,-0.953857421875,0.25,20.80916030534351,-5.694656488549619,-1.16793893129771
0.39,0.132080078125,-0.93896484375,0.262939453125,19.748091603053435,-6.106870229007634,-2.16793893129771
0.4,0.12841796875,-0.982421875,0.27587890625,19.00763358778626,-6.580152671755725,-3.053435114503817
0.41,0.12890625,-0.9697265625,0.293212890625,18.72519083969466,-8.145038167938932,-2.015267175572519
0.42,0.11474609375,-0.997802734375,0.29443359375,18.96946564885496,-8.610687022900763,-5.8396946564885495
0.43,0.108642578125,-1.001708984375,0.298828125,19.14503816793893,-8.396946564885496,-5.786259541984733
0.44,0.11572265625,-1.002685546875,0.28173828125,19.610687022900763,-6.923664122137405,-3.2519083969465647
0.45,0.112548828125,-1.000732421875,0.266845703125,20.16793893129771,-6.442748091603053,-2.877862595419847
0.46,0.124755859375,-0.998046875,0.257080078125,22.259541984732824,-5.351145038167939,-1.7328244274809161
0.47,0.130859375,-0.9921875,0.263671875,25.770992366412212,-5.038167938931298,-0.9847328244274809
0.48,0.135498046875,-0.978759765625,0.30224609375,29.244274809160306,-4.129770992366412,-0.6641221374045801
0.49,0.138916015625,-0.963623046875,0.33154296875,29.770992366412212,-3.6793893129770994,-0.4351145038167939
0.5,0.1015625,-0.95947265625,0.310302734375,30.251908396946565,-16.66412213740458,-1.8244274809160306
0.51,0.16259765625,-0.980712890625,0.31982421875,32.69465648854962,-12.511450381679388,-1.4732824427480915
0.52,0.17431640625,-0.966552734375,0.39013671875,34.58015267175573,1.8396946564885497,-0.4351145038167939
0.53,0.13818359375,-0.950439453125,0.45556640625,29.404580152671755,1.297709923664122,-0.16793893129770993
0.54,0.097412109375,-0.958740234375,0.47705078125,20.061068702290076,-4.870229007633588,-0.5419847328244275
0.55,0.094482421875,-1.010009765625,0.367431640625,19.587786259541986,-4.549618320610687,0.37404580152671757
0.56,0.13427734375,-0.99365234375,0.3369140625,22.27480916030534,-0.4580152671755725,0.9007633587786259
0.57,0.108154296875,-0.97998046875,0.29931640625,18.358778625954198,-3.6106870229007635,0.5648854961832062
0.58,0.121826171875,-0.9794921875,0.28271484375,18.458015267175572,-3.66412213740458,1.0305343511450382
0.59,0.12841796875,-0.993408203125,0.263916015625,24.427480916030536,-2.49618320610687,1.8015267175572518
0.6,0.1279296875,-0.978515625,0.2841796875,30.9618320610687,-1.9770992366412214,2.030534351145038
0.61,0.12109375,-0.948974609375,0.3251953125,32.900763358778626,-1.900763358778626,2.1526717557251906
0.62,0.123779296875,-0.937255859375,0.332763671875,32.06106870229008,-2.6564885496183206,2.0076335877862594
