Time(s),AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.0,0.0400390625,-1.00341796875,0.06298828125,-0.5038167938931297,-0.05343511450381679,-1.4198473282442747
0.01,0.039306640625,-1.0009765625,0.0810546875,-0.6793893129770993,0.022900763358778626,-1.5190839694656488
0.02,0.04052734375,-1.002685546875,0.0859375,-0.46564885496183206,-0.1450381679389313,-1.3053435114503817
0.03,0.03173828125,-1.0,0.076904296875,-0.45038167938931295,-0.20610687022900764,-1.4351145038167938
0.04,0.04248046875,-1.01513671875,0.079345703125,-0.33587786259541985,-0.09923664122137404,-1.3282442748091603
0.05,0.04638671875,-1.006103515625,0.080078125,-0.3511450381679389,-0.11450381679389313,-1.450381679389313
0.06,0.050048828125,-1.008056640625,0.07763671875,-0.366412213740458,-0.07633587786259542,-1.2442748091603053
0.07,0.0458984375,-1.00341796875,0.093505859375,-0.4580152671755725,-1.9083969465648856,-1.381679389312977
0.08,0.03564453125,-1.009765625,0.077880859375,-0.4732824427480916,0.015267175572519083,-1.366412213740458
0.09,0.04248046875,-1.003662109375,0.08056640625,-0.5801526717557252,-1.9465648854961832,-1.4045801526717556
0.1,0.045654296875,-1.002685546875,0.083251953125,-0.5572519083969466,0.09923664122137404,-1.282442748091603
0.11,0.05712890625,-1.005859375,0.08837890625,-0.5038167938931297,0.015267175572519083,-1.3740458015267176
0.12,0.0390625,-1.002197265625,0.078857421875,-0.4198473282442748,-0.10687022900763359,-1.2748091603053435
0.13,0.04150390625,-1.000732421875,0.07666015625,-0.4732824427480916,-0.07633587786259542,-1.381679389312977
0.14,0.042724609375,-1.00341796875,0.083740234375,-0.44274809160305345,-1.9236641221374047,-1.5877862595419847
0.15,0.042236328125,-1.001953125,0.078369140625,-0.37404580152671757,-0.13740458015267176,-1.549618320610687
0.16,0.044921875,-1.00244140625,0.0751953125,-0.5190839694656488,-0.25190839694656486,-1.3587786259541985
0.17,0.043701171875,-0.994873046875,0.07275390625,-0.6717557251908397,0.05343511450381679,-1.297709923664122
0.18,0.042724609375,-1.000732421875,0.083740234375,-0.6717557251908397,-0.16793893129770993,-1.3282442748091603
0.19,0.039306640625,-1.01513671875,0.083251953125,-0.549618320610687,-0.16030534351145037,-1.5114503816793894
0.2,0.04541015625,-0.988525390625,0.0771484375,-0.3969465648854962,-0.21374045801526717,-1.4351145038167938
0.21,0.046875,-1.001220703125,0.064208984375,-0.2748091603053435,1.9389312977099236,-1.4122137404580153
0.22,0.04736328125,-0.99951171875,0.0830078125,-0.15267175572519084,0.16030534351145037,-1.282442748091603
0.23,0.042724609375,-1.0078125,0.07421875,-0.42748091603053434,-0.08396946564885496,-1.3511450381679388
0.24,0.039794921875,-0.996826171875,0.078369140625,-0.42748091603053434,-0.09923664122137404,-1.3969465648854962
0.25,0.04638671875,-1.00537109375,0.08056640625,-0.6259541984732825,0.07633587786259542,-1.4732824427480915
