Timestamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.0,-0.059814453125,0.193115234375,1.04345703125,-1.5877862595419847,-0.1984732824427481,-0.6641221374045801
0.01,-0.053955078125,0.19873046875,1.036376953125,-1.8931297709923665,-0.31297709923664124,-0.45038167938931295
0.02,-0.052734375,0.19189453125,1.033935546875,-1.9312977099236641,-0.21374045801526717,-0.25190839694656486
0.03,-0.054931640625,0.192626953125,1.02783203125,-1.786259541984733,-0.15267175572519084,-0.4351145038167939
0.04,-0.057373046875,0.193359375,1.0283203125,-1.7099236641221374,-0.26717557251908397,-0.3893129770992366
0.05,-0.054443359375,0.19580078125,1.037841796875,-1.7099236641221374,-0.015267175572519083,-0.5877862595419847
0.06,-0.05419921875,0.188720703125,1.032958984375,-1.633587786259542,-0.3816793893129771,-0.549618320610687
0.07,-0.047607421875,0.19580078125,1.041015625,-1.6259541984732824,-0.33587786259541985,-0.4198473282442748
0.08,-0.056884765625,0.1982421875,1.015625,-1.8244274809160306,-0.32061068702290074,-0.5114503816793893
0.09,-0.05322265625,0.19677734375,1.035888671875,-1.6106870229007633,-0.0916030534351145,-0.5190839694656488
0.1,-0.05029296875,0.199462890625,1.030029296875,-1.5877862595419847,-0.0916030534351145,-0.21374045801526717
0.11,-0.05859375,0.19384765625,1.034912109375,-1.5190839694656488,-0.061068702290076333,-0.3282442748091603
0.12,-0.06103515625,0.198974609375,1.037841796875,-1.6793893129770991,-0.2824427480916031,-0.37404580152671757
0.13,-0.074951171875,0.19482421875,1.026611328125,-1.7404580152671756,-0.12213740458015267,-0.46564885496183206
0.14,-0.077880859375,0.195068359375,1.03125,-1.6259541984732824,-0.20610687022900764,-0.44274809160305345
0.15,-0.06005859375,0.191162109375,1.024169921875,-1.7557251908396947,-0.16793893129770993,-0.5801526717557252
0.16,-0.058349609375,0.199951171875,1.04541015625,-1.7404580152671756,-0.1297709923664122,-0.3435114503816794
0.17,-0.053955078125,0.197265625,1.046630859375,-1.6106870229007633,-0.09923664122137404,-0.4351145038167939
0.18,-0.0556640625,0.197021484375,1.039794921875,-1.5725190839694656,-0.31297709923664124,-0.2595419847328244
0.19,-0.058837890625,0.19580078125,1.041748046875,-1.6870229007633588,-0.2824427480916031,-0.32061068702290074
0.2,-0.057861328125,0.197265625,1.03125,-1.5954198473282444,-0.13740458015267176,-0.3893129770992366
0.21,-0.05615234375,0.1953125,1.04052734375,-1.6564885496183206,-0.1450381679389313,-0.5572519083969466
0.22,-0.056884765625,0.190673828125,1.034912109375,-1.5648854961832062,-0.16030534351145037,-0.40458015267175573
0.23,-0.0771484375,0.19970703125,1.03369140625,-1.5801526717557253,-0.1984732824427481,-0.3282442748091603
0.24,-0.0595703125,0.195556640625,1.046142578125,-1.6793893129770991,-0.17557251908396945,-0.33587786259541985
0.25,-0.056884765625,0.19384765625,1.0439453125,-1.7786259541984732,-0.1297709923664122,-0.26717557251908397
0.26,-0.05859375,0.192626953125,1.040771484375,-1.6793893129770991,-0.5190839694656488,-0.32061068702290074
0.27,-0.05615234375,0.197509765625,1.029296875,-1.7251908396946565,-0.183206106870229,-0.3816793893129771
0.28,-0.05615234375,0.19384765625,1.034423828125,-1.6030534351145038,0.03816793893129771,-0.48854961832061067
0.29,-0.06005859375,0.19189453125,1.0322265625,-1.5190839694656488,-0.37404580152671757,-0.37404580152671757
0.3,-0.075927734375,0.1962890625,1.025390625,-1.5572519083969465,-0.1984732824427481,-0.4122137404580153
0.31,-0.05908203125,0.19482421875,1.016357421875,-1.7404580152671756,-0.22137404580152673,-0.44274809160305345
0.32,-0.0595703125,0.196044921875,1.025146484375,-1.6106870229007633,-0.29770992366412213,-0.5648854961832062
0.33,-0.055908203125,0.1962890625,1.04296875,-1.7251908396946565,-0.2748091603053435,-0.48091603053435117
0.34,-0.06005859375,0.197265625,1.03564453125,-1.7786259541984732,-0.13740458015267176,-0.33587786259541985
0.35,-0.0576171875,0.197021484375,1.032958984375,-1.6030534351145038,-0.183206106870229,-0.4580152671755725
0.36,-0.066650390625,0.19140625,1.033935546875,-1.549618320610687,-0.20610687022900764,-0.29770992366412213
0.37,-0.05712890625,0.191162109375,1.03564453125,-1.717557251908397,-0.061068702290076333,-0.5801526717557252
0.38,-0.059326171875,0.195068359375,1.026611328125,-1.5954198473282444,-0.3053435114503817,-0.4732824427480916
0.39,-0.058837890625,0.19287109375,1.0380859375,-1.4961832061068703,-0.22137404580152673,-0.2900763358778626
0.4,-0.060546875,0.193115234375,1.0380859375,-1.6870229007633588,-0.20610687022900764,-0.5038167938931297
0.41,-0.056884765625,0.19873046875,1.035400390625,-1.5267175572519085,-0.2366412213740458,-0.3435114503816794
0.42,-0.061279296875,0.192626953125,1.033447265625,-1.748091603053435,-0.17557251908396945,-0.35877862595419846
0.43,-0.056884765625,0.18896484375,1.034912109375,-1.6106870229007633,-0.22137404580152673,-0.3969465648854962
0.44,-0.05078125,0.1923828125,1.039306640625,-1.5954198473282444,-0.3511450381679389,-0.4732824427480916
0.45,-0.060302734375,0.19482421875,1.02392578125,-1.618320610687023,-0.11450381679389313,-0.5038167938931297
0.46,-0.060302734375,0.19873046875,1.026611328125,-1.7557251908396947,-0.13740458015267176,-0.549618320610687
0.47,-0.06201171875,0.19580078125,1.0302734375,-1.7251908396946565,-0.07633587786259542,-0.4580152671755725
0.48,-0.058837890625,0.200439453125,1.03955078125,-1.618320610687023,-0.10687022900763359,-0.4351145038167939
0.49,-0.05712890625,0.1953125,1.035888671875,-1.6793893129770991,-0.3893129770992366,-0.4122137404580153
0.5,-0.063720703125,0.193359375,1.016357421875,-1.702290076335878,-0.2748091603053435,-0.3969465648854962
0.51,-0.056640625,0.19384765625,1.037353515625,-1.6412213740458015,-0.32061068702290074,-0.4198473282442748
0.52,-0.054443359375,0.1962890625,1.03125,-1.5419847328244274,-0.08396946564885496,-0.366412213740458
0.53,-0.058349609375,0.198486328125,1.026611328125,-1.4961832061068703,0.030534351145038167,-0.1984732824427481
0.54,-0.05712890625,0.1953125,1.02783203125,-1.633587786259542,-0.32061068702290074,-0.3435114503816794
0.55,-0.076171875,0.1962890625,1.032958984375,-1.7633587786259541,-0.0916030534351145,-0.4580152671755725
0.56,-0.056884765625,0.19091796875,1.03955078125,-1.450381679389313,-0.21374045801526717,-0.3969465648854962
0.57,-0.058837890625,0.189208984375,1.04296875,-1.633587786259542,-0.16793893129770993,-0.33587786259541985
0.58,-0.039306640625,0.19580078125,1.032470703125,-1.8702290076335877,2.3740458015267176,-1.8549618320610688
0.59,-0.086181640625,0.17822265625,1.112060546875,-1.8015267175572518,17.862595419847327,-2.053435114503817
0.6,-0.003173828125,0.207763671875,1.037353515625,-2.0610687022900764,27.709923664122137,-6.7251908396946565
0.61,-0.067626953125,0.12646484375,1.1181640625,-1.3358778625954197,16.33587786259542,-14.572519083969466
0.62,-0.267578125,0.070068359375,1.115234375,5.8396946564885495,2.450381679389313,-28.458015267175572
0.63,-0.26220703125,0.240234375,0.91748046875,0.0916030534351145,-11.198473282442748,-28.458015267175572
0.64,0.064453125,0.318115234375,1.019287109375,-1.8625954198473282,-20.106870229007633,-20.03053435114504
0.65,0.140625,0.188720703125,1.187744140625,-1.1755725190839694,-6.709923664122138,-17.3206106870229
0.66,0.393798828125,0.23681640625,1.020751953125,-0.3969465648854962,1.549618320610687,-16.099236641221374
0.67,0.024169921875,0.218017578125,0.956787109375,-0.09923664122137404,1.618320610687023,-11.49618320610687
0.68,-0.042236328125,0.1806640625,1.10546875,-1.9923664122137406,1.2213740458015268,-9.106870229007633
0.69,-0.0390625,0.201171875,1.03369140625,-1.0763358778625953,-1.6030534351145038,-10.938931297709924
0.7,-0.166259765625,0.19580078125,1.028564453125,0.05343511450381679,-5.2748091603053435,-15.664122137404581
0.71,-0.070556640625,-0.041259765625,1.186767578125,8.877862595419847,-14.526717557251908,-40.88549618320611
0.72,-0.123779296875,-0.001953125,1.21826171875,12.786259541984732,-23.251908396946565,-59.17557251908397
0.73,-0.1787109375,0.053955078125,1.148681640625,15.412213740458014,-28.458015267175572,-70.80152671755725
0.74,0.005615234375,0.27197265625,0.974609375,9.938931297709924,-17.82442748091603,-62.63358778625954
0.75,0.07275390625,0.39794921875,0.91796875,0.9083969465648855,-7.763358778625954,-50.396946564885496
0.76,-0.00732421875,0.268798828125,1.067138671875,1.8473282442748091,-7.129770992366412,-35.33587786259542
0.77,-0.022216796875,0.186279296875,1.02685546875,3.1068702290076335,-10.48091603053435,-31.50381679389313
0.78,0.010986328125,0.17431640625,0.984375,4.3816793893129775,-13.511450381679388,-34.030534351145036
0.79,-0.028564453125,0.21484375,0.93505859375,1.9923664122137406,-10.625954198473282,-33.38931297709924
0.8,-0.083984375,0.3056640625,0.96630859375,-0.8320610687022901,-3.5801526717557253,-27.587786259541986
0.81,-0.1201171875,0.339111328125,1.014892578125,-1.7404580152671756,-3.7557251908396947,-16.015267175572518
0.82,-0.07275390625,0.20361328125,1.054931640625,-1.1145038167938932,-4.022900763358779,-11.030534351145038
0.83,-0.014404296875,0.176513671875,1.068603515625,0.7404580152671756,-8.038167938931299,-0.19083969465648856
0.84,-0.1435546875,0.2109375,1.1748046875,3.7786259541984735,-54.00763358778626,2.450381679389313
0.85,-0.164794921875,0.21337890625,1.14013671875,-4.633587786259542,-203.74045801526717,-2.4427480916030535
0.86,-0.127197265625,0.2265625,1.024169921875,-11.702290076335878,-250.13740458015266,-8.48091603053435
0.87,-0.32080078125,0.193603515625,1.5263671875,53.36641221374046,-80.79389312977099,45.87786259541985
0.88,-0.170654296875,0.335693359375,1.234619140625,74.41984732824427,-100.26717557251908,58.213740458015266
0.89,0.008544921875,0.263427734375,1.25439453125,77.72519083969466,-98.44274809160305,64.36641221374046
0.9,-0.07373046875,0.307373046875,0.902587890625,74.38931297709924,-88.61832061068702,69.83206106870229
0.91,0.064208984375,0.28466796875,1.032958984375,76.14503816793894,-87.58015267175573,73.98473282442748
0.92,0.023681640625,0.266357421875,1.310302734375,76.77099236641222,-95.3206106870229,82.27480916030534
0.93,0.181396484375,0.378173828125,1.23193359375,41.63358778625954,-60.20610687022901,65.06870229007633
0.94,0.23046875,0.39892578125,1.06494140625,56.41984732824427,-45.595419847328245,76.83969465648855
0.95,0.22900390625,0.418212890625,1.070556640625,63.12977099236641,-43.49618320610687,87.09923664122137
0.96,0.325439453125,0.3369140625,0.98291015625,68.93129770992367,-29.748091603053435,78.1526717557252
0.97,0.359375,0.28515625,0.909912109375,69.10687022900764,-16.35114503816794,57.61832061068702
0.98,0.27490234375,0.300048828125,0.769287109375,53.44274809160305,-16.51145038167939,38.465648854961835
0.99,0.08544921875,0.42529296875,0.736572265625,26.51145038167939,-26.221374045801525,30.244274809160306
1.0,0.09814453125,0.443603515625,0.684326171875,-5.32824427480916,-32.038167938931295,25.99236641221374
1.01,0.0556640625,0.416015625,0.6123046875,-33.969465648854964,-34.16793893129771,29.564885496183205
1.02,0.06884765625,0.353271484375,0.578125,-65.69465648854961,-30.366412213740457,33.229007633587784
1.03,0.181396484375,0.218505859375,0.58642578125,-90.14503816793894,-16.419847328244273,31.870229007633586
1.04,0.698486328125,-0.37255859375,1.99993896484375,68.82442748091603,97.61832061068702,31.908396946564885
1.05,-0.5615234375,0.16357421875,1.69970703125,-12.49618320610687,66.0,26.33587786259542
1.06,0.0888671875,0.285888671875,1.025390625,0.16793893129770993,32.091603053435115,21.17557251908397
1.07,0.26953125,0.2314453125,0.771240234375,1.0687022900763359,53.57251908396947,13.381679389312977
1.08,0.235107421875,0.23291015625,0.851318359375,-2.0916030534351147,66.61068702290076,9.900763358778626
1.09,0.233154296875,0.22802734375,0.90966796875,-7.404580152671755,79.14503816793894,6.259541984732825
1.1,0.241455078125,0.2333984375,0.8994140625,-11.15267175572519,88.03053435114504,1.1450381679389312
1.11,0.187744140625,0.25244140625,0.9443359375,-19.114503816793892,92.25954198473282,-5.374045801526718
1.12,0.09326171875,0.24267578125,1.185302734375,-48.770992366412216,67.31297709923665,-10.366412213740459
1.13,0.180908203125,0.137451171875,0.928466796875,-59.343511450381676,69.8854961832061,-20.66412213740458
1.14,0.164306640625,0.06884765625,1.058349609375,-64.57251908396947,66.74045801526718,-29.480916030534353
1.15,0.080322265625,0.133056640625,1.12744140625,-64.04580152671755,58.54961832061068,-32.23664122137404
1.16,0.0458984375,0.08544921875,1.034423828125,-63.17557251908397,55.541984732824424,-28.12213740458015
1.17,0.067138671875,0.142578125,1.034912109375,-68.38931297709924,57.32824427480916,-24.709923664122137
1.18,0.0634765625,0.14990234375,0.957763671875,-71.08396946564885,65.79389312977099,-23.244274809160306
1.19,0.025390625,0.231689453125,0.953857421875,-78.78625954198473,78.01526717557252,-20.587786259541986
1.2,0.03515625,0.205078125,0.96868896484375,-55.11450381679389,61.83969465648855,-8.374045801526718
1.21,0.05908203125,0.5,0.90087890625,-20.66412213740458,-21.778625954198475,-10.381679389312977
1.22,1.253173828125,0.8203125,1.99365234375,22.9618320610687,-8.389312977099237,-50.36641221374046
1.23,0.04736328125,0.29638671875,0.96728515625,-9.145038167938932,1.5114503816793894,-48.61068702290076
1.24,0.05224609375,0.176513671875,0.731689453125,-12.572519083969466,3.3893129770992365,-42.38167938931298
1.25,-0.03271484375,0.226318359375,1.30224609375,-7.061068702290076,-8.549618320610687,-30.72519083969466
1.26,0.041015625,0.280517578125,1.02099609375,-9.473282442748092,-4.969465648854962,-36.770992366412216
1.27,0.056884765625,0.122802734375,1.035400390625,-6.312977099236641,-7.183206106870229,-35.25954198473283
1.28,0.146484375,0.162841796875,1.03369140625,-10.709923664122137,-2.2213740458015265,-43.458015267175576
1.29,0.118408203125,0.135009765625,0.992431640625,-12.702290076335878,-2.763358778625954,-50.61832061068702
1.3,0.203857421875,0.128173828125,0.96630859375,-15.335877862595419,-0.1984732824427481,-63.43511450381679
1.31,0.271240234375,0.1103515625,1.269775390625,-12.488549618320612,-10.358778625954198,-77.07633587786259
1.32,0.17138671875,0.353271484375,0.733154296875,-27.35114503816794,21.14503816793893,-70.33587786259542
1.33,-1.507568359375,0.339599609375,0.98291015625,0.8473282442748091,-1.7328244274809161,5.519083969465649
1.34,-0.142578125,0.059814453125,0.91845703125,-4.66412213740458,2.0229007633587788,17.946564885496183
1.35,0.05224609375,0.3486328125,1.2216796875,11.312977099236642,-12.16030534351145,5.129770992366412
1.36,0.151611328125,0.29248046875,0.94921875,-6.931297709923665,21.00763358778626,0.030534351145038167
1.37,0.041015625,0.13037109375,0.951416015625,4.862595419847328,40.3206106870229,-4.244274809160306
1.38,-0.10400390625,0.30908203125,1.135009765625,1.213740458015267,49.37404580152672,1.8473282442748091
1.39,-0.21826171875,0.317626953125,1.292724609375,12.366412213740459,38.69465648854962,24.51145038167939
1.4,-0.143798828125,0.1142578125,1.293701171875,49.23664122137404,24.85496183206107,28.106870229007633
1.41,-0.052001953125,0.201171875,1.3251953125,67.7557251908397,26.65648854961832,21.267175572519083
1.42,-0.120361328125,0.306640625,1.425537109375,94.1145038167939,14.740458015267176,0.33587786259541985
1.43,-0.090087890625,0.254150390625,1.328125,106.85496183206106,-2.8931297709923665,-17.68702290076336
1.44,-0.103759765625,0.236328125,1.25244140625,103.50381679389314,-10.229007633587786,-24.786259541984734
1.45,-0.1201171875,0.3056640625,1.1025390625,86.95419847328245,-17.625954198473284,-26.297709923664122
1.46,-0.082763671875,0.382568359375,1.04443359375,74.2442748091603,-30.206106870229007,-28.31297709923664
1.47,-0.0263671875,0.397216796875,0.975341796875,59.99236641221374,-37.900763358778626,-27.740458015267176
1.48,0.0068359375,0.3671875,1.0078125,46.045801526717554,-43.79389312977099,-22.80916030534351
1.49,-0.00732421875,0.346923828125,1.08056640625,40.99236641221374,-46.404580152671755,-15.587786259541986
1.5,-0.027587890625,0.326416015625,1.126953125,36.42748091603053,-53.29007633587786,-10.114503816793894
1.51,-0.011962890625,0.3232421875,1.060546875,32.85496183206107,-63.12977099236641,-12.007633587786259
1.52,-0.0244140625,0.3330078125,1.052490234375,29.0,-80.99236641221374,-9.068702290076336
1.53,0.003662109375,0.306884765625,1.039794921875,27.633587786259543,-101.34351145038168,-17.99236641221374
1.54,0.547119140625,0.182861328125,0.966552734375,13.389312977099237,-125.54961832061069,-70.50381679389314
1.55,-0.15966796875,0.409423828125,1.19384765625,68.74045801526718,-86.41984732824427,-33.541984732824424
1.56,0.000244140625,0.240966796875,1.073974609375,130.70992366412213,-69.23664122137404,-14.80916030534351
1.57,0.1630859375,0.205322265625,1.147705078125,173.77862595419847,-68.18320610687023,-14.931297709923664
1.58,0.1904296875,0.255615234375,1.092529296875,233.29007633587787,-62.961832061068705,-15.312977099236642
1.59,0.13916015625,0.459228515625,1.069580078125,250.12977099236642,-44.213740458015266,-8.587786259541986
1.6,0.1279296875,0.38037109375,0.98095703125,250.12977099236642,-17.412213740458014,-15.900763358778626
1.61,-0.009521484375,0.69287109375,0.844970703125,250.12977099236642,13.50381679389313,-1.282442748091603
1.62,-0.00634765625,0.718505859375,0.767578125,250.12977099236642,41.67175572519084,23.03053435114504
1.63,0.05126953125,0.66650390625,0.819091796875,250.12977099236642,60.32824427480916,41.7557251908397
1.64,0.13525390625,0.6015625,0.8701171875,250.12977099236642,54.23664122137404,49.45038167938932
1.65,0.15625,0.646240234375,0.854248046875,250.12977099236642,37.80152671755725,59.56488549618321
1.66,0.218017578125,0.703857421875,0.773681640625,250.12977099236642,21.328244274809162,71.00763358778626
1.67,0.187255859375,0.72705078125,0.60986328125,250.12977099236642,10.816793893129772,78.99236641221374
1.68,0.072509765625,0.7216796875,0.46728515625,250.12977099236642,-20.16793893129771,63.58015267175573
1.69,0.068115234375,0.9521484375,0.120361328125,250.12977099236642,-31.893129770992367,43.83206106870229
1.7,0.13427734375,0.89453125,0.26513671875,198.00763358778627,-41.82442748091603,12.732824427480915
1.71,0.27587890625,0.927490234375,0.417236328125,128.05343511450383,-48.12213740458015,-17.053435114503817
1.72,0.2548828125,0.97705078125,0.441650390625,61.343511450381676,-44.83969465648855,-17.450381679389313
1.73,0.246826171875,0.86279296875,0.454833984375,9.366412213740459,-48.52671755725191,-15.053435114503817
1.74,0.22216796875,0.870849609375,0.382080078125,-10.358778625954198,-39.412213740458014,-5.900763358778626
1.75,0.16455078125,0.838134765625,0.43603515625,5.2748091603053435,-29.709923664122137,4.801526717557252
1.76,0.133544921875,0.75390625,0.33349609375,20.259541984732824,-28.053435114503817,11.221374045801527
1.77,0.163818359375,0.749267578125,0.208251953125,25.267175572519083,-21.46564885496183,6.809160305343512
1.78,0.1455078125,0.751953125,0.30126953125,28.702290076335878,-14.17557251908397,-2.0076335877862594
1.79,0.15576171875,0.84033203125,0.365478515625,26.99236641221374,-27.221374045801525,-8.961832061068701
1.8,0.18798828125,0.90966796875,0.28125,25.38167938931298,-35.47328244274809,-4.267175572519084
1.81,0.214599609375,0.826904296875,0.40185546875,35.45038167938932,-51.63358778625954,0.5725190839694656
1.82,0.2373046875,0.82666015625,0.3984375,48.38931297709924,-62.045801526717554,11.687022900763358
1.83,0.18701171875,0.851318359375,0.43115234375,46.70992366412214,-80.55725190839695,28.30534351145038
1.84,0.164306640625,0.81494140625,0.261962890625,36.98473282442748,-95.06870229007633,41.61068702290076
1.85,0.19091796875,0.8291015625,0.226806640625,34.64885496183206,-103.2824427480916,49.47328244274809
1.86,0.2314453125,0.861083984375,0.173095703125,47.00763358778626,-98.96946564885496,64.79389312977099
1.87,0.156982421875,0.80029296875,0.2685546875,70.42748091603053,-92.1526717557252,93.47328244274809
1.88,0.299560546875,0.81884765625,0.34326171875,85.90839694656489,-87.23664122137404,114.3587786259542
1.89,0.396240234375,1.009521484375,0.416015625,74.58778625954199,-117.74045801526718,127.61068702290076
1.9,0.3896484375,1.00341796875,0.30322265625,60.847328244274806,-157.1145038167939,137.1908396946565
1.91,0.284423828125,0.976318359375,0.144287109375,56.54961832061068,-166.65648854961833,151.29770992366412
1.92,0.322265625,0.871337890625,0.1064453125,59.97709923664122,-155.6412213740458,150.59541984732823
1.93,0.370361328125,0.929931640625,0.04052734375,63.229007633587784,-124.58778625954199,148.93129770992365
1.94,0.398681640625,0.958984375,0.158935546875,68.00763358778626,-106.56488549618321,142.31297709923663
1.95,0.447265625,1.00927734375,0.158935546875,75.29007633587786,-100.36641221374046,126.16030534351145
1.96,0.501220703125,0.949951171875,0.189208984375,80.70229007633588,-103.66412213740458,124.29007633587786
1.97,0.55712890625,0.91455078125,0.133544921875,86.74809160305344,-106.2824427480916,120.01526717557252
1.98,0.584716796875,0.88671875,0.098388671875,97.35114503816794,-97.47328244274809,113.06106870229007
1.99,0.512939453125,0.819580078125,0.130859375,107.34351145038168,-81.6030534351145,108.59541984732824
2.0,0.54150390625,0.89208984375,0.121337890625,108.93129770992367,-93.04580152671755,105.87022900763358
2.01,0.517333984375,0.96484375,0.1806640625,107.36641221374046,-111.57251908396947,109.45038167938931
2.02,0.64013671875,0.961669921875,0.20263671875,102.54198473282443,-133.50381679389312,111.91603053435115
2.03,0.541259765625,0.991455078125,0.11962890625,92.73282442748092,-149.0763358778626,119.78625954198473
2.04,0.458740234375,1.0068359375,0.034423828125,82.27480916030534,-142.1679389312977,116.55725190839695
2.05,0.518798828125,0.898681640625,0.00634765625,68.29007633587786,-123.91603053435115,95.13740458015268
2.06,0.572509765625,0.93701171875,0.029296875,53.13740458015267,-121.29770992366412,85.89312977099236
2.07,0.542724609375,0.961669921875,0.01220703125,42.587786259541986,-138.61832061068702,86.0
2.08,0.53369140625,0.8447265625,-0.020751953125,39.038167938931295,-161.82442748091603,95.78625954198473
2.09,0.543212890625,0.803955078125,-0.09375,37.091603053435115,-176.24427480916032,107.06870229007633
2.1,0.508056640625,0.74560546875,-0.267578125,38.93893129770992,-159.1679389312977,111.74045801526718
2.11,0.5498046875,0.5703125,-0.322509765625,38.7557251908397,-120.38931297709924,98.05343511450381
2.12,0.5859375,0.615966796875,-0.301025390625,35.19847328244275,-94.99236641221374,78.74045801526718
2.13,0.590576171875,0.6796875,-0.275390625,30.893129770992367,-87.86259541984732,68.03053435114504
2.14,0.5537109375,0.712890625,-0.211669921875,28.931297709923665,-87.79389312977099,66.61832061068702
2.15,0.62646484375,0.715087890625,-0.201904296875,27.709923664122137,-103.68702290076335,63.465648854961835
2.16,0.62646484375,0.7861328125,-0.27392578125,27.34351145038168,-103.89312977099236,62.969465648854964
2.17,0.629638671875,0.710205078125,-0.244873046875,28.27480916030534,-93.32824427480917,55.458015267175576
2.18,0.718017578125,0.66552734375,-0.32470703125,27.564885496183205,-77.46564885496183,48.6412213740458
2.19,0.69189453125,0.70458984375,-0.347900390625,26.251908396946565,-70.01526717557252,45.267175572519086
2.2,0.659423828125,0.685791015625,-0.354248046875,27.083969465648856,-68.47328244274809,54.29007633587786
2.21,0.669921875,0.638671875,-0.387451171875,31.83969465648855,-79.3587786259542,67.2824427480916
2.22,0.66455078125,0.634765625,-0.400146484375,36.732824427480914,-89.12213740458016,82.12213740458016
2.23,0.679443359375,0.60546875,-0.439453125,42.083969465648856,-93.7175572519084,89.38167938931298
2.24,0.76611328125,0.6357421875,-0.4140625,44.48091603053435,-75.31297709923665,84.34351145038168
2.25,0.70458984375,0.733154296875,-0.329345703125,42.58015267175573,-73.25190839694656,81.96946564885496
2.26,0.694580078125,0.779296875,-0.301513671875,37.69465648854962,-70.8473282442748,82.04580152671755
2.27,0.6923828125,0.796875,-0.25732421875,32.6412213740458,-77.13740458015268,79.03053435114504
