Time(s),AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.0,0.06982421875,-1.0029296875,0.06787109375,-0.7709923664122137,-0.06870229007633588,-1.1908396946564885
0.01,0.06689453125,-1.003662109375,0.06201171875,-0.7175572519083969,-0.25190839694656486,-1.381679389312977
0.02,0.07080078125,-1.002685546875,0.05810546875,-0.2824427480916031,-0.08396946564885496,-1.366412213740458
0.03,0.075439453125,-0.99267578125,0.06298828125,-0.29770992366412213,-0.19083969465648856,-1.4122137404580153
0.04,0.068603515625,-1.00341796875,0.061279296875,-0.08396946564885496,-0.20610687022900764,-1.4580152671755726
0.05,0.068359375,-1.010009765625,0.065185546875,-0.3816793893129771,-0.12213740458015267,-1.2671755725190839
0.06,0.06787109375,-1.00439453125,0.06591796875,-0.7099236641221374,-0.030534351145038167,-1.5038167938931297
0.07,0.075927734375,-1.0048828125,0.06494140625,-0.5343511450381679,-0.13740458015267176,-1.3587786259541985
0.08,0.071533203125,-1.008056640625,0.076416015625,-0.6412213740458015,-0.1450381679389313,-1.4045801526717556
0.09,0.067626953125,-1.00634765625,0.065673828125,-0.26717557251908397,0.007633587786259542,-1.2900763358778626
0.1,0.0712890625,-0.98486328125,0.053466796875,-0.32061068702290074,-0.183206106870229,-1.4885496183206106
0.11,0.0751953125,-1.00634765625,0.06982421875,-0.40458015267175573,-0.21374045801526717,-1.3435114503816794
0.12,0.068115234375,-1.008056640625,0.07568359375,-0.48091603053435117,-0.16030534351145037,-1.450381679389313
0.13,0.07177734375,-0.995849609375,0.06787109375,-0.6946564885496184,-0.06870229007633588,-1.3358778625954197
0.14,0.072509765625,-1.002685546875,0.06494140625,-0.42748091603053434,-1.9541984732824427,-1.5877862595419847
0.15,0.06787109375,-1.005126953125,0.0654296875,-0.45038167938931295,0.06870229007633588,-1.1603053435114503
0.16,0.06884765625,-1.014892578125,0.0693359375,-0.5190839694656488,-0.24427480916030533,-1.4198473282442747
0.17,0.076416015625,-1.001953125,0.066650390625,-0.35877862595419846,-0.15267175572519084,-1.3587786259541985
0.18,0.0673828125,-0.98681640625,0.066650390625,-0.33587786259541985,-1.9312977099236641,-1.2366412213740459
0.19,0.070068359375,-0.99951171875,0.07421875,-0.08396946564885496,-0.16030534351145037,-1.3740458015267176
0.2,0.071533203125,-1.006103515625,0.0732421875,-0.5038167938931297,0.08396946564885496,-1.2900763358778626
0.21,0.072021484375,-1.00048828125,0.063720703125,-0.6641221374045801,-0.12213740458015267,-1.3893129770992367
0.22,0.072509765625,-0.998291015625,0.06103515625,-0.5572519083969466,-0.05343511450381679,-1.5801526717557253
0.23,0.072998046875,-1.01416015625,0.062255859375,-0.5114503816793893,-0.05343511450381679,-1.3053435114503817
0.24,0.074462890625,-0.9990234375,0.072021484375,-0.4732824427480916,-0.16030534351145037,-1.3587786259541985
0.25,0.07470703125,-1.00634765625,0.060791015625,-0.0916030534351145,-0.15267175572519084,-1.4351145038167938
0.26,0.072265625,-0.99951171875,0.070556640625,-0.42748091603053434,-0.07633587786259542,-1.213740458015267
0.27,0.067626953125,-1.00732421875,0.064453125,-0.48091603053435117,0.030534351145038167,-1.3129770992366412
0.28,0.068359375,-1.00146484375,0.0693359375,-0.5954198473282443,-0.2595419847328244,-1.5725190839694656
0.29,0.07470703125,-0.99951171875,0.05810546875,-0.6030534351145038,-1.8931297709923665,-1.3587786259541985
0.3,0.0712890625,-0.9921875,0.069091796875,-0.48091603053435117,-0.08396946564885496,-1.4885496183206106
0.31,0.068603515625,-0.98828125,0.0693359375,-0.4961832061068702,-0.05343511450381679,-1.3511450381679388
0.32,0.06494140625,-1.01513671875,0.066650390625,-0.10687022900763359,-0.015267175572519083,-1.4274809160305344
0.33,0.06494140625,-1.002685546875,0.070068359375,-0.16030534351145037,-0.10687022900763359,-1.2366412213740459
0.34,0.067626953125,-0.997802734375,0.068603515625,-0.5267175572519084,-0.16030534351145037,-1.2366412213740459
0.35,0.073974609375,-0.999755859375,0.07080078125,-0.5648854961832062,-0.0916030534351145,-1.3129770992366412
0.36,0.07080078125,-0.999267578125,0.071533203125,-0.5343511450381679,-0.2366412213740458,-1.3206106870229009
0.37,0.068359375,-0.9873046875,0.067138671875,-0.6793893129770993,-0.3511450381679389,-1.1984732824427482
0.38,0.072509765625,-1.005126953125,0.066162109375,-0.4961832061068702,-0.11450381679389313,-1.4427480916030535
0.39,0.06982421875,-1.003173828125,0.065185546875,-0.20610687022900764,-0.1450381679389313,-1.4045801526717556
0.4,0.069091796875,-0.997314453125,0.070068359375,-0.1297709923664122,-1.9389312977099236,-1.3969465648854962
0.41,0.070068359375,-0.995849609375,0.0673828125,-0.5114503816793893,-0.183206106870229,-1.3129770992366412
0.42,0.0693359375,-1.0009765625,0.066162109375,-0.4732824427480916,1.900763358778626,-1.4122137404580153
0.43,0.07666015625,-1.001708984375,0.0625,-0.648854961832061,-0.05343511450381679,-1.366412213740458
0.44,0.064697265625,-1.006103515625,0.065673828125,-0.4351145038167939,-0.13740458015267176,-1.3358778625954197
0.45,0.0703125,-1.014404296875,0.07373046875,-0.6259541984732825,-1.9541984732824427,-1.450381679389313
0.46,0.068359375,-1.00244140625,0.069091796875,-0.46564885496183206,-0.09923664122137404,-1.465648854961832
